Zahlungsziel;Suchbegriff;Selektion;Bezeichnung;Skontofrist;Skontofrist 2;Nettofrist;Mahnfrist;% Skontosatz;% Skontosatz 2;Skonto aus ValDat;manuell erfasst;Druckmaske;Druckmaske 2;Druckmaske 3;relevant für;Periodentyp;Monatsletzter;Letztes Nettodatum;Mahnfrist NettoDat;Betriebskalender;Kalendertage;Monatsletzter;Steuer
0;;;;0;0;0;0;0;0;yes;no;;;;0;0;no;0;yes;?;yes;no;no
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Zahlungsziel;Credit Terms;S_ZahlZiel.ZahlungsZiel;INTEGER;zz9;
2;Suchbegriff;Search Term;S_ZahlZiel.Suchbegriff;CHARACTER;x(12);
3;Selektion;Selection;S_ZahlZiel.Selektion;CHARACTER;x(20);
4;Bezeichnung;Description Credit Terms;S_ZahlZielSpr.Bezeichnung;CHARACTER;x(50);
5;Skontofrist;Cash Discount Period 1;S_ZahlZiel.SkontoFrist1;INTEGER;-zz9;
6;Skontofrist 2;Cash Discount Period 2;S_ZahlZiel.SkontoFrist2;INTEGER;-zz9;
7;Nettofrist;Net Due Period;S_ZahlZiel.Nettofrist;INTEGER;zzz9;
8;Mahnfrist;Grace Period;S_ZahlZiel.MahnFrist;INTEGER;zzz9;
9;% Skontosatz;Cash Discount Rate 1;S_ZahlZiel.SkontoSatz1;DECIMAL;-z9.99%;
10;% Skontosatz 2;Cash Discount Rate 2;S_ZahlZiel.SkontoSatz2;DECIMAL;-z9.99%;
11;Skonto aus ValDat;Cash Discount from Value Date;S_ZahlZiel.SkontoausValDat;LOGICAL;ja/nein;
12;manuell erfasst;Manual Entry;S_ZahlZiel.Manuell;LOGICAL;ja/nein;
13;Druckmaske;Print Mask 1;S_ZahlZielSpr.Druckmaske1;CHARACTER;x(60);
14;Druckmaske 2;Print Mask 2;S_ZahlZielSpr.Druckmaske2;CHARACTER;x(60);
15;Druckmaske 3;Print Mask 3;S_ZahlZielSpr.Druckmaske3;CHARACTER;x(60);
16;relevant für;Relevant To;S_ZahlZiel.RelevantToModule;INTEGER;9;
17;Periodentyp;Period Type;S_ZahlZiel.F_PeriodType;INTEGER;9;
18;Monatsletzter;Last Day of Month;S_ZahlZiel.F_LastOfMonth;LOGICAL;ja  /nein;
19;Letztes Nettodatum;Last Net Date;S_ZahlZiel.F_LastNetDate;INTEGER;z9;
20;Mahnfrist NettoDat;Grace Period on Net Date;S_ZahlZiel.F_GraceOnNet;LOGICAL;ja  /nein;
21;Betriebskalender;Company Calendar Number;S_ZahlZiel.H_CalendarNo;INTEGER;zzzzzzz9;
22;Kalendertage;Maturity by Calendar Days;S_ZahlZiel.I_CalendarDays;LOGICAL;ja  /nein;
23;Monatsletzter;Net Due on Last Day of Month;S_ZahlZiel.I_LastOfMonth;LOGICAL;ja  /nein;
24;Steuer;Tax Amount on First Installment;S_ZahlZiel.I_Tax;LOGICAL;ja  /nein;
